2024-06-09 05:48:44,338 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:44,487 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:44,635 - WARNING - env.py - _illegal_move - 230 - 4 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:44,974 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:47,114 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:47,258 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:32,274 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:32,420 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:33,118 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:33,259 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:33,759 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:33,903 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:34,222 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:34,363 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:34,501 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:36,230 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:37,363 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:37,511 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:37,660 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:38,001 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:38,144 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:38,288 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:38,432 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:39,136 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:39,278 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:39,420 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:39,927 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:40,069 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:40,211 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:41,152 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:41,302 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:41,457 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:41,801 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:41,943 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:42,088 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:42,613 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:42,755 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:53,932 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:54,275 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:54,419 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:54,567 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:55,698 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:55,846 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:56,187 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:56,330 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:56,841 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:57,169 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:57,311 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:57,453 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:49:57,965 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:00,916 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:01,256 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:01,402 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:01,547 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:01,691 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:01,834 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:02,355 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:02,501 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:50:02,868 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
